Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;Distance;Distance Unit;Seconds;Notes;Workout Notes
2018-10-03 16:00:08;"B";"Bench Press (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-03 16:00:08;"B";"Bench Press (Dumbbell)";2;30;lbs;5;;;0;;
2018-10-03 16:00:08;"B";"Bench Press (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-03 16:00:08;"B";"Bench Press (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-03 16:00:08;"B";"Bench Press (Dumbbell)";5;45;lbs;5;;;0;;
2018-10-03 16:00:08;"B";"Pull Up";1;0;lbs;12;;;0;"";
2018-10-03 16:00:08;"B";"Pull Up";2;0;lbs;7;;;0;;
2018-10-01 15:59:06;"A";"Deadlift (Barbell)";1;65;lbs;5;;;0;"";""
2018-10-01 15:59:06;"A";"Deadlift (Barbell)";2;75;lbs;5;;;0;;
2018-10-01 15:59:06;"A";"Deadlift (Barbell)";3;85;lbs;5;;;0;;
2018-10-01 15:59:06;"A";"Deadlift (Barbell)";4;95;lbs;5;;;0;;
2018-10-01 15:59:06;"A";"Deadlift (Barbell)";5;105;lbs;10;;;0;;
2018-10-01 15:59:06;"A";"Bent Over Row (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-01 15:59:06;"A";"Bent Over Row (Dumbbell)";2;30;lbs;5;;;0;;
2018-10-01 15:59:06;"A";"Bent Over Row (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-01 15:59:06;"A";"Bent Over Row (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-01 15:59:06;"A";"Bent Over Row (Dumbbell)";5;45;lbs;7;;;0;;
2018-10-01 15:59:06;"A";"Overhead Press (Dumbbell)";1;20;lbs;5;;;0;"";
2018-10-01 15:59:06;"A";"Overhead Press (Dumbbell)";2;22.5;lbs;5;;;0;;
2018-10-01 15:59:06;"A";"Overhead Press (Dumbbell)";3;25;lbs;5;;;0;;
2018-10-01 15:59:06;"A";"Overhead Press (Dumbbell)";4;27.5;lbs;5;;;0;;
2018-10-01 15:59:06;"A";"Overhead Press (Dumbbell)";5;30;lbs;8;;;0;;
2018-09-24 17:05:17;"B";"Squat (Barbell)";1;20;lbs;5;;;0;"";""
2018-09-24 17:05:17;"B";"Squat (Barbell)";2;22.5;lbs;5;;;0;;
2018-09-24 17:05:17;"B";"Squat (Barbell)";3;25;lbs;5;;;0;;
2018-09-24 17:05:17;"B";"Squat (Barbell)";4;27.5;lbs;5;;;0;;
2018-09-24 17:05:17;"B";"Squat (Barbell)";5;30;lbs;10;;;0;;
2018-09-24 17:05:17;"B";"Bench Press (Dumbbell)";1;25;lbs;5;;;0;"";
2018-09-24 17:05:17;"B";"Bench Press (Dumbbell)";2;27.5;lbs;5;;;0;;
2018-09-24 17:05:17;"B";"Bench Press (Dumbbell)";3;30;lbs;5;;;0;;
2018-09-24 17:05:17;"B";"Bench Press (Dumbbell)";4;35;lbs;5;;;0;;
2018-09-24 17:05:17;"B";"Bench Press (Dumbbell)";5;40;lbs;10;;;0;;
2018-09-24 17:05:17;"B";"Pull Up";1;0;lbs;13;;;0;"";
2018-09-24 17:05:17;"B";"Pull Up";2;0;lbs;7;;;0;;
2018-09-21 16:12:11;"A";"Deadlift (Barbell)";1;65;lbs;5;;;0;"";""
2018-09-21 16:12:11;"A";"Deadlift (Barbell)";2;75;lbs;5;;;0;;
2018-09-21 16:12:11;"A";"Deadlift (Barbell)";3;85;lbs;5;;;0;;
2018-09-21 16:12:11;"A";"Deadlift (Barbell)";4;95;lbs;5;;;0;;
2018-09-21 16:12:11;"A";"Deadlift (Barbell)";5;105;lbs;7;;;0;;
2018-09-21 16:12:11;"A";"Bent Over Row (Dumbbell)";1;27.5;lbs;5;;;0;"";
