Exercise Name,Workout Notes,Distance,Workout Name,Seconds,Date,Weight,Notes,Weight Unit,Distance Unit,Reps,Set Order
"""Squat (Barbell)""",,,"""B""",0,2018-10-31 17:10:12,27.5,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-10-31 17:10:12,30,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-10-31 17:10:12,32.5,,lbs,,10,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,27.5,"""""",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,45,,lbs,,5,5
"""Pull Up""",,,"""B""",0,2018-10-31 17:10:12,0,"""""",lbs,,14,1
"""Pull Up""",,,"""B""",0,2018-10-31 17:10:12,0,,lbs,,7,2
"""Deadlift (Barbell)""","""""",,"""A""",0,2018-10-29 16:00:57,85,"""""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-29 16:00:57,95,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-29 16:00:57,105,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-29 16:00:57,115,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-29 16:00:57,125,,lbs,,8,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,27.5,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,30,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,35,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,40,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,45,,lbs,,9,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,20,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,22.5,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,25,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,27.5,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-29 16:00:57,30,,lbs,,10,5
"""Squat (Barbell)""","""""",,"""B""",0,2018-10-27 15:14:48,22.5,"""""",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2018-10-27 15:14:48,25,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2018-10-27 15:14:48,27.5,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-10-27 15:14:48,30,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-10-27 15:14:48,32.5,,lbs,,7,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-27 15:14:48,27.5,"""""",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-27 15:14:48,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-27 15:14:48,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-27 15:14:48,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-27 15:14:48,45,,lbs,,4,5
"""Pull Up""",,,"""B""",0,2018-10-27 15:14:48,0,"""""",lbs,,11,1
"""Pull Up""",,,"""B""",0,2018-10-27 15:14:48,0,,lbs,,5,2
"""Deadlift (Barbell)""","""""",,"""A""",0,2018-10-20 15:05:17,85,"""""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-20 15:05:17,95,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-20 15:05:17,105,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-20 15:05:17,115,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-20 15:05:17,125,,lbs,,5,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,27.5,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,30,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,35,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,40,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,45,,lbs,,8,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,20,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,22.5,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,25,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,27.5,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-20 15:05:17,30,,lbs,,9,5
"""Squat (Barbell)""","""""",,"""B""",0,2018-10-17 04:37:32,22.5,"""""",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2018-10-17 04:37:32,25,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2018-10-17 04:37:32,27.5,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-10-17 04:37:32,30,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-10-17 04:37:32,32.5,,lbs,,7,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-17 04:37:32,27.5,"""""",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-17 04:37:32,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-17 04:37:32,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-17 04:37:32,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-17 04:37:32,45,,lbs,,5,5
"""Pull Up""",,,"""B""",0,2018-10-17 04:37:32,0,"""""",lbs,,11,1
"""Pull Up""",,,"""B""",0,2018-10-17 04:37:32,0,,lbs,,6,2
"""Deadlift (Barbell)""","""""",,"""A""",0,2018-10-12 16:12:31,75,"""""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-12 16:12:31,85,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-12 16:12:31,95,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-12 16:12:31,105,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-12 16:12:31,115,,lbs,,10,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,27.5,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,30,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,35,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,40,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,45,,lbs,,8,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,20,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,22.5,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,25,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,27.5,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-12 16:12:31,30,,lbs,,8,5
"""Squat (Barbell)""","""""",,"""B""",0,2018-10-10 19:59:20,22.5,"""""",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2018-10-10 19:59:20,25,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2018-10-10 19:59:20,27.5,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-10-10 19:59:20,30,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-10-10 19:59:20,32.5,,lbs,,8,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-10 19:59:20,27.5,"""""",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-10 19:59:20,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-10 19:59:20,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-10 19:59:20,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-10 19:59:20,45,,lbs,,6,5
"""Pull Up""",,,"""B""",0,2018-10-10 19:59:20,0,"""""",lbs,,12,1
"""Pull Up""",,,"""B""",0,2018-10-10 19:59:20,0,,lbs,,6,2
"""Deadlift (Barbell)""","""""",,"""A""",0,2018-10-08 17:11:11,65,"""CHANGE: corrected form""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-08 17:11:11,75,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-08 17:11:11,85,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-08 17:11:11,95,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-08 17:11:11,105,,lbs,,11,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,27.5,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,30,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,35,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,40,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,45,,lbs,,7,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,20,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,22.5,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,25,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,27.5,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-08 17:11:11,30,,lbs,,8,5
"""Squat (Barbell)""","""""",,"""B""",0,2018-10-03 16:00:08,22.5,"""""",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2018-10-03 16:00:08,25,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2018-10-03 16:00:08,27.5,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-10-03 16:00:08,30,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-10-03 16:00:08,32.5,,lbs,,8,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-03 16:00:08,27.5,"""""",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-03 16:00:08,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-03 16:00:08,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-03 16:00:08,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-03 16:00:08,45,,lbs,,5,5
"""Pull Up""",,,"""B""",0,2018-10-03 16:00:08,0,"""""",lbs,,12,1
"""Pull Up""",,,"""B""",0,2018-10-03 16:00:08,0,,lbs,,7,2
"""Deadlift (Barbell)""","""""",,"""A""",0,2018-10-01 15:59:06,65,"""""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-01 15:59:06,75,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-01 15:59:06,85,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-01 15:59:06,95,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2018-10-01 15:59:06,105,,lbs,,10,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,27.5,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,30,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,35,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,40,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,45,,lbs,,7,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,20,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,22.5,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,25,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,27.5,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-10-01 15:59:06,30,,lbs,,8,5
"""Squat (Barbell)""","""""",,"""B""",0,2018-09-24 17:05:17,20,"""""",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2018-09-24 17:05:17,22.5,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2018-09-24 17:05:17,25,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-09-24 17:05:17,27.5,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-09-24 17:05:17,30,,lbs,,10,5
